N	P	M	v0	beta	num_steps
10	200	120	2.000000e-01	7.000000e-01	50000
i	V_beta	h^2	Acc.
0	3.198444e-02	2.289124e+07	1
1	3.941824e-02	6.253986e+06	1
2	4.064728e-02	3.207810e+06	1
3	4.322605e-02	2.211319e+06	1
4	3.902694e-02	1.635360e+06	1
5	4.020405e-02	1.269739e+06	1
6	4.446374e-02	1.048917e+06	1
7	4.070814e-02	9.872395e+05	1
8	4.628814e-02	8.636399e+05	1
9	4.429229e-02	8.317317e+05	1
10	5.539724e-02	8.486169e+05	1
11	4.741554e-02	7.148958e+05	1
12	4.992541e-02	7.534826e+05	1
13	5.424049e-02	7.279998e+05	1
14	6.105706e-02	7.345315e+05	1
15	7.512272e-02	7.203933e+05	1
16	8.578397e-02	6.764661e+05	1
17	9.611106e-02	6.369478e+05	1
18	1.045977e-01	6.431301e+05	1
19	1.312010e-01	7.124756e+05	1
20	1.114680e-01	6.193055e+05	1
21	1.245805e-01	6.187756e+05	1
22	1.398552e-01	6.308904e+05	1
23	1.311874e-01	5.764860e+05	1
24	1.338889e-01	6.130369e+05	1
25	1.533135e-01	6.219137e+05	1
26	1.531474e-01	6.393203e+05	1
27	1.378803e-01	6.020976e+05	1
28	1.297749e-01	6.026206e+05	1
29	1.161446e-01	6.373186e+05	1
30	1.073236e-01	5.937026e+05	1
31	8.364417e-02	6.058980e+05	1
32	8.929016e-02	5.979983e+05	1
33	8.818506e-02	5.856999e+05	1
34	9.152189e-02	5.917198e+05	1
35	9.661212e-02	5.946724e+05	1
36	8.732615e-02	5.659016e+05	1
37	7.658300e-02	6.155917e+05	1
38	7.902012e-02	5.892578e+05	1
39	7.889066e-02	5.893357e+05	1
40	8.110694e-02	5.941026e+05	1
41	8.775520e-02	6.042403e+05	1
42	8.894257e-02	5.866302e+05	1
43	8.494126e-02	5.364011e+05	1
44	7.302056e-02	6.005250e+05	1
45	8.311421e-02	6.161167e+05	1
46	8.249371e-02	5.892170e+05	1
47	8.249371e-02	6.376464e+05	0
48	8.349861e-02	6.101680e+05	1
49	8.968968e-02	5.796272e+05	1
50	9.401100e-02	5.981313e+05	1
51	8.680638e-02	5.738829e+05	1
52	8.758487e-02	5.741551e+05	1
53	9.162777e-02	5.814119e+05	1
54	8.872534e-02	5.702305e+05	1
55	8.407304e-02	5.877887e+05	1
56	8.145164e-02	5.919933e+05	1
57	8.102094e-02	5.364386e+05	1
58	8.681348e-02	5.908817e+05	1
59	6.982273e-02	5.963546e+05	1
60	6.278752e-02	5.883077e+05	1
61	7.701396e-02	6.005499e+05	1
62	6.005298e-02	5.998705e+05	1
63	6.121528e-02	6.229461e+05	1
64	5.315370e-02	5.405127e+05	1
65	4.882788e-02	5.603236e+05	1
66	4.109817e-02	5.762922e+05	1
67	4.201734e-02	5.876758e+05	1
68	4.308736e-02	5.943333e+05	1
69	4.690274e-02	5.661214e+05	1
70	5.449073e-02	6.017929e+05	1
71	5.042113e-02	5.878898e+05	1
72	3.572027e-02	6.153232e+05	1
73	4.135693e-02	6.075544e+05	1
74	3.900689e-02	5.933036e+05	1
75	4.566377e-02	5.796895e+05	1
76	5.201181e-02	5.784079e+05	1
77	5.734817e-02	5.931901e+05	1
78	5.734817e-02	5.853909e+05	0
79	4.914446e-02	5.645746e+05	1
80	4.736343e-02	5.639115e+05	1
81	3.573432e-02	5.418468e+05	1
82	3.278301e-02	5.886920e+05	1
83	4.056710e-02	5.753184e+05	1
84	4.056710e-02	5.807519e+05	0
85	3.829786e-02	5.974402e+05	1
86	4.599575e-02	5.946410e+05	1
87	4.946857e-02	6.112796e+05	1
88	5.376183e-02	5.797786e+05	1
89	5.376183e-02	6.032846e+05	0
90	6.883020e-02	5.654745e+05	1
91	6.883020e-02	5.614846e+05	0
92	5.732037e-02	5.434196e+05	1
93	5.890655e-02	5.510255e+05	1
94	4.948938e-02	5.918869e+05	1
95	6.469630e-02	5.438395e+05	1
96	4.945821e-02	6.110063e+05	1
97	3.816502e-02	6.452212e+05	1
98	4.376402e-02	5.885986e+05	1
99	4.789138e-02	6.019960e+05	1
100	6.000687e-02	6.099811e+05	1
101	6.649958e-02	5.806048e+05	1
102	6.983527e-02	5.684455e+05	1
103	6.250715e-02	6.142268e+05	1
104	6.541264e-02	6.080608e+05	1
105	5.980055e-02	5.621642e+05	1
106	5.305586e-02	5.720111e+05	1
107	4.594638e-02	5.661240e+05	1
108	5.017630e-02	6.099382e+05	1
109	5.438937e-02	5.944007e+05	1
110	5.383702e-02	5.666744e+05	1
111	5.841352e-02	6.111160e+05	1
112	5.827470e-02	5.686368e+05	1
113	4.766319e-02	5.819616e+05	1
114	4.011594e-02	6.197292e+05	1
115	4.648431e-02	5.899183e+05	1
116	4.625576e-02	5.946599e+05	1
117	5.823988e-02	5.787434e+05	1
118	7.181492e-02	5.511070e+05	1
119	7.064892e-02	5.675512e+05	1
120	7.464023e-02	5.541622e+05	1
121	8.972547e-02	5.701618e+05	1
122	7.889575e-02	5.600746e+05	1
123	7.250430e-02	5.607018e+05	1
124	6.964408e-02	6.064389e+05	1
125	6.713037e-02	5.238005e+05	1
126	5.350668e-02	6.093270e+05	1
127	6.115946e-02	5.986714e+05	1
128	6.364762e-02	5.774072e+05	1
129	6.088004e-02	5.963502e+05	1
130	6.188752e-02	5.858640e+05	1
131	7.508658e-02	5.412474e+05	1
132	8.379226e-02	5.720794e+05	1
133	8.148567e-02	6.044750e+05	1
134	8.977998e-02	6.105591e+05	1
135	8.403445e-02	6.133788e+05	1
136	6.914118e-02	6.267295e+05	1
137	6.565181e-02	6.382872e+05	1
138	7.857832e-02	5.399606e+05	1
139	8.335204e-02	5.859064e+05	1
140	1.025204e-01	5.653215e+05	1
141	1.218806e-01	5.931965e+05	1
142	1.427644e-01	5.525246e+05	1
143	1.428066e-01	5.433500e+05	1
144	1.492053e-01	5.907690e+05	1
145	1.276865e-01	5.659131e+05	1
146	1.371098e-01	5.786585e+05	1
147	1.489056e-01	5.701548e+05	1
148	1.403270e-01	5.660881e+05	1
149	1.511439e-01	5.878485e+05	1
150	1.236811e-01	5.292353e+05	1
151	1.175334e-01	6.081475e+05	1
152	1.036421e-01	5.703001e+05	1
153	1.036421e-01	5.320582e+05	0
154	9.320681e-02	5.513379e+05	1
155	9.320681e-02	6.091965e+05	0
156	1.110230e-01	5.540490e+05	1
157	1.050753e-01	5.568021e+05	1
158	1.164355e-01	5.599837e+05	1
159	1.308736e-01	5.513018e+05	1
160	1.108245e-01	5.659205e+05	1
161	1.245019e-01	5.620766e+05	1
162	1.239786e-01	5.917115e+05	1
163	1.059799e-01	5.748550e+05	1
164	1.059799e-01	5.683419e+05	0
165	9.814657e-02	5.467516e+05	1
166	1.061223e-01	5.690548e+05	1
167	1.110197e-01	5.709707e+05	1
168	1.094882e-01	5.569024e+05	1
169	8.557803e-02	5.661261e+05	1
170	8.557803e-02	5.983399e+05	0
171	7.955436e-02	5.539487e+05	1
172	7.516568e-02	5.656255e+05	1
173	5.887473e-02	5.894130e+05	1
174	6.294431e-02	5.552960e+05	1
175	6.584612e-02	5.906745e+05	1
176	6.488176e-02	5.751798e+05	1
177	5.587151e-02	5.707927e+05	1
178	5.688185e-02	5.924744e+05	1
179	6.303226e-02	5.900198e+05	1
180	6.585801e-02	5.690732e+05	1
181	6.968147e-02	5.772598e+05	1
182	6.250453e-02	5.988201e+05	1
183	6.250453e-02	5.965247e+05	0
184	7.951444e-02	5.642559e+05	1
185	7.805011e-02	5.698843e+05	1
186	9.136086e-02	5.886493e+05	1
187	9.375499e-02	6.003405e+05	1
188	9.176002e-02	5.471167e+05	1
189	9.465358e-02	5.671946e+05	1
190	1.006972e-01	5.735739e+05	1
191	9.957918e-02	5.767780e+05	1
192	1.105205e-01	5.626352e+05	1
193	1.105205e-01	6.169338e+05	0
194	1.083317e-01	5.308606e+05	1
195	1.249439e-01	5.678354e+05	1
196	1.287692e-01	6.239769e+05	1
197	1.168295e-01	5.754707e+05	1
198	1.106420e-01	5.984812e+05	1
199	1.025591e-01	6.179718e+05	1
200	1.133089e-01	5.775571e+05	1
201	9.099323e-02	5.634732e+05	1
202	8.067863e-02	5.901931e+05	1
203	8.844537e-02	5.855777e+05	1
204	9.512913e-02	5.978635e+05	1
205	8.471368e-02	5.651349e+05	1
206	9.441719e-02	6.007610e+05	1
207	9.441719e-02	5.955158e+05	0
208	8.895035e-02	5.570129e+05	1
209	8.895035e-02	6.138673e+05	0
210	8.895035e-02	5.618248e+05	0
211	8.924994e-02	5.298816e+05	1
212	8.805213e-02	5.708938e+05	1
213	7.295480e-02	5.885714e+05	1
214	6.876764e-02	5.956244e+05	1
215	6.991696e-02	5.838654e+05	1
216	7.091660e-02	5.586243e+05	1
217	6.919149e-02	6.335559e+05	1
218	6.914007e-02	5.609378e+05	1
219	8.079066e-02	5.820337e+05	1
220	7.747233e-02	5.912683e+05	1
221	9.102075e-02	5.732934e+05	1
222	1.050227e-01	5.870201e+05	1
223	1.202520e-01	6.189080e+05	1
224	1.202520e-01	5.796851e+05	0
225	1.203473e-01	5.695086e+05	1
226	1.302330e-01	6.013437e+05	1
227	1.455120e-01	5.966916e+05	1
228	1.504024e-01	5.531286e+05	1
229	1.504024e-01	5.937762e+05	0
230	1.554247e-01	5.644609e+05	1
231	1.664409e-01	5.876983e+05	1
232	1.552348e-01	5.686183e+05	1
233	1.618641e-01	5.385760e+05	1
234	1.556933e-01	5.626360e+05	1
235	1.651281e-01	5.173847e+05	1
236	1.491472e-01	5.728521e+05	1
237	1.243368e-01	5.971812e+05	1
238	1.286777e-01	6.061038e+05	1
239	1.408073e-01	5.946004e+05	1
240	1.383611e-01	5.745052e+05	1
241	1.320658e-01	5.655550e+05	1
242	1.320658e-01	5.905601e+05	0
243	1.240339e-01	5.606467e+05	1
244	1.256280e-01	5.711168e+05	1
245	1.256280e-01	5.844848e+05	0
246	1.249773e-01	6.003075e+05	1
247	1.249773e-01	5.858002e+05	0
248	1.356432e-01	5.581701e+05	1
249	1.203537e-01	5.949752e+05	1
250	1.203537e-01	5.659160e+05	0
251	1.272507e-01	5.887913e+05	1
252	1.285974e-01	5.512017e+05	1
253	1.356573e-01	5.601300e+05	1
254	1.302549e-01	5.592877e+05	1
255	1.162249e-01	5.815856e+05	1
256	1.063469e-01	5.775358e+05	1
257	1.014850e-01	5.836213e+05	1
258	1.014850e-01	5.644592e+05	0
259	1.059425e-01	5.469882e+05	1
260	1.211748e-01	5.781807e+05	1
261	1.171634e-01	5.491225e+05	1
262	1.369841e-01	5.564560e+05	1
263	1.468652e-01	5.766831e+05	1
264	1.701548e-01	5.217748e+05	1
265	1.712917e-01	5.496347e+05	1
266	1.875894e-01	6.037155e+05	1
267	2.055055e-01	5.490999e+05	1
268	2.056739e-01	5.495067e+05	1
269	1.848902e-01	5.872810e+05	1
270	2.046718e-01	5.475262e+05	1
271	2.196373e-01	5.718103e+05	1
272	2.196373e-01	6.146685e+05	0
273	2.325195e-01	5.779132e+05	1
274	2.239730e-01	5.998612e+05	1
275	2.006619e-01	6.094387e+05	1
276	2.148240e-01	5.841581e+05	1
277	2.050254e-01	5.395000e+05	1
278	1.812999e-01	5.856266e+05	1
279	1.791421e-01	5.705587e+05	1
280	1.613226e-01	6.063996e+05	1
281	1.614260e-01	5.998642e+05	1
282	1.804384e-01	5.963967e+05	1
283	1.896174e-01	6.012150e+05	1
284	1.988815e-01	5.662082e+05	1
285	2.300627e-01	5.892134e+05	1
286	2.055737e-01	5.881975e+05	1
287	2.415123e-01	5.694292e+05	1
288	2.285446e-01	5.618688e+05	1
289	2.511170e-01	5.641770e+05	1
290	2.593514e-01	5.846677e+05	1
291	2.655173e-01	5.704858e+05	1
292	2.536302e-01	5.546955e+05	1
293	2.623191e-01	5.716260e+05	1
294	2.445305e-01	5.874417e+05	1
295	2.493958e-01	5.713463e+05	1
296	2.493958e-01	5.729903e+05	0
297	2.558542e-01	5.701431e+05	1
298	2.680967e-01	5.609310e+05	1
299	2.710668e-01	5.367855e+05	1
300	2.605771e-01	5.924302e+05	1
301	2.494727e-01	5.810103e+05	1
302	2.494727e-01	5.929835e+05	0
303	2.664173e-01	5.650924e+05	1
304	2.563093e-01	5.660794e+05	1
305	2.777881e-01	5.757070e+05	1
306	2.777881e-01	5.631871e+05	0
307	3.032568e-01	5.744468e+05	1
308	2.676795e-01	5.452703e+05	1
309	2.657793e-01	5.697780e+05	1
310	2.675080e-01	5.666407e+05	1
311	2.680771e-01	5.913731e+05	1
312	2.568238e-01	6.112051e+05	1
313	2.426673e-01	5.818254e+05	1
314	2.760585e-01	5.980263e+05	1
315	2.680121e-01	5.611803e+05	1
316	2.523461e-01	6.051535e+05	1
317	2.900578e-01	5.981408e+05	1
318	3.002357e-01	5.851563e+05	1
319	3.436495e-01	5.658867e+05	1
320	3.137689e-01	5.833229e+05	1
321	3.208305e-01	6.284042e+05	1
322	3.523373e-01	5.331179e+05	1
323	3.508325e-01	6.076100e+05	1
324	3.508325e-01	5.563207e+05	0
325	3.324636e-01	5.452139e+05	1
326	3.071773e-01	5.489969e+05	1
327	3.058282e-01	5.963461e+05	1
328	3.243327e-01	5.493946e+05	1
329	3.112903e-01	5.623956e+05	1
330	3.148273e-01	5.752424e+05	1
331	3.019254e-01	5.854571e+05	1
332	2.897563e-01	5.578980e+05	1
333	2.807229e-01	5.715801e+05	1
334	2.728531e-01	5.461394e+05	1
335	2.809799e-01	5.573642e+05	1
336	2.641225e-01	5.346984e+05	1
337	2.645146e-01	5.835927e+05	1
338	2.410150e-01	5.890056e+05	1
339	2.364753e-01	5.794231e+05	1
340	2.430861e-01	5.490160e+05	1
341	2.430861e-01	5.736240e+05	0
342	2.545080e-01	5.782662e+05	1
343	2.502796e-01	6.023157e+05	1
344	2.580282e-01	5.912224e+05	1
345	2.709476e-01	5.521122e+05	1
346	2.855087e-01	5.671058e+05	1
347	2.855087e-01	5.997799e+05	0
348	2.532638e-01	6.014046e+05	1
349	2.318646e-01	5.890734e+05	1
350	2.318646e-01	5.934296e+05	0
