N	P	M	v0	beta	num_steps
20	60	48	2.000000e-01	7.000000e-01	100000
i	V_beta	h^2	Acc.
0	7.875701e-02	9.605375e+05	1
1	6.894126e-02	3.748660e+05	1
2	9.538436e-02	2.599795e+05	1
3	9.969570e-02	1.997141e+05	1
4	8.781933e-02	1.650128e+05	1
5	9.664518e-02	1.788891e+05	1
6	1.013248e-01	1.534386e+05	1
7	1.100708e-01	1.592435e+05	1
8	1.190413e-01	1.231790e+05	1
9	1.364567e-01	1.246964e+05	1
10	1.519037e-01	1.337173e+05	1
11	1.528401e-01	1.259835e+05	1
12	1.448896e-01	1.266314e+05	1
13	1.531199e-01	1.130734e+05	1
14	1.628808e-01	1.226346e+05	1
15	1.873291e-01	1.311319e+05	1
16	1.734961e-01	1.169118e+05	1
17	1.845630e-01	1.173683e+05	1
18	2.269874e-01	1.105685e+05	1
19	2.374008e-01	1.084183e+05	1
20	2.799071e-01	1.214520e+05	1
21	2.737919e-01	1.160395e+05	1
22	3.154329e-01	1.226556e+05	1
23	3.159391e-01	1.155429e+05	1
24	3.430765e-01	1.134864e+05	1
25	4.295972e-01	1.136659e+05	1
26	4.526093e-01	1.084539e+05	1
27	4.384940e-01	1.080682e+05	1
28	4.813103e-01	1.059288e+05	1
29	4.813103e-01	1.063963e+05	0
30	4.694138e-01	1.099354e+05	1
31	4.923007e-01	1.102677e+05	1
32	4.536333e-01	1.146708e+05	1
33	4.793524e-01	1.180456e+05	1
34	5.686429e-01	1.052428e+05	1
35	5.862711e-01	1.157241e+05	1
36	6.429515e-01	1.096111e+05	1
37	6.012171e-01	1.084464e+05	1
38	5.729449e-01	1.034969e+05	1
39	5.829019e-01	1.040844e+05	1
40	6.600439e-01	9.819993e+04	1
41	7.183646e-01	1.115690e+05	1
42	7.183646e-01	1.041558e+05	0
43	7.183646e-01	1.128480e+05	0
44	7.147828e-01	1.150649e+05	1
45	7.231246e-01	1.116332e+05	1
46	6.396585e-01	9.932654e+04	1
47	7.101513e-01	1.070659e+05	1
48	8.462761e-01	1.076801e+05	1
49	8.156744e-01	1.015003e+05	1
50	7.560580e-01	1.002457e+05	1
51	7.715056e-01	1.009499e+05	1
52	6.926541e-01	1.056364e+05	1
53	6.918333e-01	1.084841e+05	1
54	6.211721e-01	1.062218e+05	1
55	5.915165e-01	1.086403e+05	1
56	6.190619e-01	1.103086e+05	1
57	6.787195e-01	1.004682e+05	1
58	6.976765e-01	9.663317e+04	1
59	6.461035e-01	9.625352e+04	1
60	6.373222e-01	1.103642e+05	1
61	6.373222e-01	1.071802e+05	0
62	6.373222e-01	1.017441e+05	0
63	6.373222e-01	1.059180e+05	0
64	6.202146e-01	1.076550e+05	1
65	6.202146e-01	1.078676e+05	0
66	6.202146e-01	1.090382e+05	0
67	6.143383e-01	1.042584e+05	1
68	6.107230e-01	1.028742e+05	1
69	6.177097e-01	1.014725e+05	1
70	6.542478e-01	1.085500e+05	1
71	6.783994e-01	1.106805e+05	1
72	6.898342e-01	1.053118e+05	1
73	6.898342e-01	1.029721e+05	0
74	6.271716e-01	1.099737e+05	1
75	6.071765e-01	1.103379e+05	1
76	6.071765e-01	1.064020e+05	0
77	6.276254e-01	9.904551e+04	1
78	6.375435e-01	1.031149e+05	1
79	6.375435e-01	1.036565e+05	0
80	6.339261e-01	9.094391e+04	1
81	6.381370e-01	1.012170e+05	1
82	6.159435e-01	1.054757e+05	1
83	6.159435e-01	1.034452e+05	0
84	6.358703e-01	1.042452e+05	1
85	6.515025e-01	1.013660e+05	1
86	6.873359e-01	1.088668e+05	1
87	6.873359e-01	1.032627e+05	0
88	6.873359e-01	1.051854e+05	0
89	5.966144e-01	1.025713e+05	1
90	6.475446e-01	1.034298e+05	1
91	6.476590e-01	1.042234e+05	1
92	6.476590e-01	1.044336e+05	0
93	6.734539e-01	9.825798e+04	1
94	6.854481e-01	9.315063e+04	1
95	7.091475e-01	1.024187e+05	1
96	7.039885e-01	1.031820e+05	1
97	7.470870e-01	1.017273e+05	1
98	7.230754e-01	1.081441e+05	1
99	8.031689e-01	1.109347e+05	1
100	7.789030e-01	1.076026e+05	1
101	7.789030e-01	1.050163e+05	0
102	8.215365e-01	1.014582e+05	1
103	7.381546e-01	9.981693e+04	1
104	7.423992e-01	1.066297e+05	1
105	7.253473e-01	1.018755e+05	1
106	7.384507e-01	1.101624e+05	1
107	7.090602e-01	1.025351e+05	1
108	7.397490e-01	1.014614e+05	1
109	7.397490e-01	1.024647e+05	0
110	7.976814e-01	9.419084e+04	1
111	7.941290e-01	1.068248e+05	1
112	7.200981e-01	1.093983e+05	1
113	6.840503e-01	1.013705e+05	1
114	7.334441e-01	1.000534e+05	1
115	7.903603e-01	1.049499e+05	1
116	7.917877e-01	1.072945e+05	1
117	8.804144e-01	1.057020e+05	1
118	8.250412e-01	1.092251e+05	1
119	8.219073e-01	9.991107e+04	1
120	8.699934e-01	1.133134e+05	1
121	8.879204e-01	1.104715e+05	1
122	9.690966e-01	1.026310e+05	1
123	1.063161e+00	1.034303e+05	1
124	1.223784e+00	1.071772e+05	1
125	1.181781e+00	1.052436e+05	1
126	1.109743e+00	1.105061e+05	1
127	1.054664e+00	1.068872e+05	1
128	1.016582e+00	1.097727e+05	1
129	1.052523e+00	1.066573e+05	1
130	1.109050e+00	1.042818e+05	1
131	1.132915e+00	9.929971e+04	1
132	1.160557e+00	9.670089e+04	1
133	1.132310e+00	1.015147e+05	1
134	1.132310e+00	1.055589e+05	0
135	1.132310e+00	1.073603e+05	0
136	1.132310e+00	9.593709e+04	0
137	1.203061e+00	1.047333e+05	1
138	1.244643e+00	1.065137e+05	1
139	1.203487e+00	1.109243e+05	1
140	1.228936e+00	9.793295e+04	1
141	1.212991e+00	1.024499e+05	1
142	1.126528e+00	1.132242e+05	1
143	1.139817e+00	1.099572e+05	1
144	1.098934e+00	1.035595e+05	1
145	1.098934e+00	1.074524e+05	0
146	1.031802e+00	1.107684e+05	1
147	1.031802e+00	1.056392e+05	0
148	1.066530e+00	1.021261e+05	1
149	1.027524e+00	1.018196e+05	1
150	1.062031e+00	1.020915e+05	1
151	1.095393e+00	9.997683e+04	1
152	1.087820e+00	9.405651e+04	1
153	1.115544e+00	1.039050e+05	1
154	1.147792e+00	9.365710e+04	1
155	1.147792e+00	1.035710e+05	0
156	1.255097e+00	9.772976e+04	1
157	1.347014e+00	1.059156e+05	1
158	1.328068e+00	1.086463e+05	1
159	1.326129e+00	1.042356e+05	1
160	1.326129e+00	1.109330e+05	0
161	1.401294e+00	1.038936e+05	1
162	1.409224e+00	1.064821e+05	1
163	1.363852e+00	1.106463e+05	1
164	1.290842e+00	1.080712e+05	1
165	1.228101e+00	1.098979e+05	1
166	1.187351e+00	9.861596e+04	1
167	1.214924e+00	1.098615e+05	1
168	1.229692e+00	1.022868e+05	1
169	1.254208e+00	1.070187e+05	1
170	1.224886e+00	1.116597e+05	1
171	1.224886e+00	1.047433e+05	0
172	1.224886e+00	1.076686e+05	0
173	1.191453e+00	1.000403e+05	1
174	1.247098e+00	1.007508e+05	1
175	1.379659e+00	1.048296e+05	1
176	1.376788e+00	1.056326e+05	1
177	1.210914e+00	1.122569e+05	1
178	1.385587e+00	1.025798e+05	1
179	1.420057e+00	1.014439e+05	1
180	1.473038e+00	1.070579e+05	1
181	1.409849e+00	1.014991e+05	1
182	1.530411e+00	1.079711e+05	1
183	1.643237e+00	1.115306e+05	1
