N	P	M	v0	beta	num_steps
10	100	80	2.000000e-01	7.000000e-01	100000
i	V_beta	h^2	Acc.
0	3.295024e-02	3.618992e+06	1
1	2.753282e-02	7.379875e+05	1
2	3.125633e-02	3.207147e+05	1
3	3.946600e-02	2.876602e+05	1
4	4.326850e-02	2.162265e+05	1
5	4.959352e-02	2.071556e+05	1
6	5.028199e-02	1.945867e+05	1
7	5.207631e-02	1.905878e+05	1
8	3.860839e-02	2.021149e+05	1
9	4.247815e-02	1.768947e+05	1
10	4.460312e-02	1.478131e+05	1
11	5.099443e-02	1.700333e+05	1
12	5.487510e-02	1.514993e+05	1
13	6.109837e-02	1.608480e+05	1
14	6.752414e-02	1.538296e+05	1
15	5.884879e-02	1.477586e+05	1
16	7.123358e-02	1.382500e+05	1
17	8.319774e-02	1.525413e+05	1
18	8.862338e-02	1.558945e+05	1
19	8.507029e-02	1.592608e+05	1
20	7.928330e-02	1.699020e+05	1
21	7.606129e-02	1.433689e+05	1
22	7.364641e-02	1.423193e+05	1
23	1.065722e-01	1.575317e+05	1
24	9.832249e-02	1.482323e+05	1
25	1.061582e-01	1.712427e+05	1
26	9.580566e-02	1.368011e+05	1
27	9.244364e-02	1.512894e+05	1
28	9.576432e-02	1.548203e+05	1
29	9.475471e-02	1.482524e+05	1
30	1.031024e-01	1.451967e+05	1
31	1.098204e-01	1.583895e+05	1
32	1.229848e-01	1.410100e+05	1
33	1.221525e-01	1.477547e+05	1
34	1.127902e-01	1.421853e+05	1
35	1.116627e-01	1.420379e+05	1
36	1.249281e-01	1.406232e+05	1
37	1.075982e-01	1.536364e+05	1
38	1.198922e-01	1.486251e+05	1
39	1.248571e-01	1.601900e+05	1
40	1.144816e-01	1.426346e+05	1
41	9.470314e-02	1.395448e+05	1
42	1.201349e-01	1.566277e+05	1
43	1.379287e-01	1.435654e+05	1
44	1.527526e-01	1.432763e+05	1
45	1.461907e-01	1.288841e+05	1
46	1.547406e-01	1.275264e+05	1
47	1.561954e-01	1.622225e+05	1
48	1.847423e-01	1.220104e+05	1
49	2.114519e-01	1.517206e+05	1
50	2.209142e-01	1.543259e+05	1
51	2.313018e-01	1.406093e+05	1
52	2.348292e-01	1.479897e+05	1
53	2.845216e-01	1.487274e+05	1
54	2.636959e-01	1.442988e+05	1
55	3.095246e-01	1.438786e+05	1
56	3.045898e-01	1.466116e+05	1
57	3.045898e-01	1.520766e+05	0
58	3.107980e-01	1.504465e+05	1
59	3.139250e-01	1.323499e+05	1
60	3.139250e-01	1.302757e+05	0
61	3.139250e-01	1.356189e+05	0
62	3.264764e-01	1.363826e+05	1
63	3.513018e-01	1.489756e+05	1
64	3.358949e-01	1.547470e+05	1
65	3.138229e-01	1.347441e+05	1
66	3.102381e-01	1.465623e+05	1
67	3.034403e-01	1.543496e+05	1
68	2.877332e-01	1.307529e+05	1
69	3.030501e-01	1.452473e+05	1
70	3.187655e-01	1.452689e+05	1
71	3.187655e-01	1.374000e+05	0
72	3.736116e-01	1.364131e+05	1
73	3.957318e-01	1.504720e+05	1
74	3.457380e-01	1.420498e+05	1
75	3.072605e-01	1.430194e+05	1
76	2.797307e-01	1.495796e+05	1
77	3.026606e-01	1.310351e+05	1
78	2.886708e-01	1.398850e+05	1
79	2.886708e-01	1.372408e+05	0
80	3.092406e-01	1.340560e+05	1
81	3.146502e-01	1.391067e+05	1
82	2.765321e-01	1.477367e+05	1
83	2.901670e-01	1.497148e+05	1
84	3.055540e-01	1.321738e+05	1
85	3.073773e-01	1.395009e+05	1
86	2.913447e-01	1.408328e+05	1
87	2.590540e-01	1.402062e+05	1
88	3.369909e-01	1.365892e+05	1
89	3.276988e-01	1.354232e+05	1
90	3.276988e-01	1.424860e+05	0
91	3.329106e-01	1.482757e+05	1
92	3.214964e-01	1.528815e+05	1
93	3.280211e-01	1.503076e+05	1
94	3.020232e-01	1.466959e+05	1
95	3.005068e-01	1.392425e+05	1
96	3.459074e-01	1.335025e+05	1
97	3.316950e-01	1.407005e+05	1
98	3.316950e-01	1.478307e+05	0
99	3.316950e-01	1.451728e+05	0
100	3.207853e-01	1.357880e+05	1
101	3.207853e-01	1.558404e+05	0
102	3.282417e-01	1.394274e+05	1
103	3.204921e-01	1.337771e+05	1
104	3.477452e-01	1.413400e+05	1
105	3.692430e-01	1.470807e+05	1
106	3.315642e-01	1.554601e+05	1
107	3.895884e-01	1.294537e+05	1
108	3.490856e-01	1.481923e+05	1
109	3.776581e-01	1.425513e+05	1
110	3.776581e-01	1.518845e+05	0
111	3.990485e-01	1.427333e+05	1
112	3.773501e-01	1.359879e+05	1
113	3.773501e-01	1.483630e+05	0
114	3.425857e-01	1.371968e+05	1
115	3.410691e-01	1.327075e+05	1
116	3.580186e-01	1.477522e+05	1
117	3.477333e-01	1.413470e+05	1
118	3.511299e-01	1.467711e+05	1
119	3.277036e-01	1.630496e+05	1
120	3.566680e-01	1.355846e+05	1
121	3.361353e-01	1.493083e+05	1
122	3.587501e-01	1.464216e+05	1
123	3.530216e-01	1.394607e+05	1
124	3.961060e-01	1.548622e+05	1
125	4.078698e-01	1.564815e+05	1
126	3.851769e-01	1.351824e+05	1
127	4.067004e-01	1.440485e+05	1
128	4.160223e-01	1.367600e+05	1
129	4.210878e-01	1.413846e+05	1
130	4.502176e-01	1.389696e+05	1
131	4.862557e-01	1.344944e+05	1
132	4.377523e-01	1.470346e+05	1
133	4.227193e-01	1.497554e+05	1
134	3.851103e-01	1.402212e+05	1
135	3.740705e-01	1.459362e+05	1
136	4.110016e-01	1.248178e+05	1
137	4.289453e-01	1.299606e+05	1
138	3.875348e-01	1.461361e+05	1
139	3.637386e-01	1.420758e+05	1
140	3.570557e-01	1.483836e+05	1
141	3.721469e-01	1.330404e+05	1
142	3.416843e-01	1.451700e+05	1
143	3.320125e-01	1.619911e+05	1
144	3.590553e-01	1.541453e+05	1
145	3.156799e-01	1.424262e+05	1
146	3.190922e-01	1.432468e+05	1
147	3.033197e-01	1.331309e+05	1
148	3.445326e-01	1.398592e+05	1
149	3.359228e-01	1.370269e+05	1
150	3.633404e-01	1.458692e+05	1
151	3.894263e-01	1.485986e+05	1
152	3.864251e-01	1.433002e+05	1
153	3.780635e-01	1.435934e+05	1
154	3.946285e-01	1.474725e+05	1
155	4.425669e-01	1.423410e+05	1
156	4.449980e-01	1.420260e+05	1
157	4.688213e-01	1.450023e+05	1
158	4.041866e-01	1.351599e+05	1
159	3.674969e-01	1.316703e+05	1
160	3.556644e-01	1.344452e+05	1
161	3.508134e-01	1.431640e+05	1
162	2.903177e-01	1.468365e+05	1
163	2.582904e-01	1.546786e+05	1
164	2.429795e-01	1.625684e+05	1
165	2.455013e-01	1.486693e+05	1
166	2.602728e-01	1.308581e+05	1
167	2.485900e-01	1.458758e+05	1
168	2.442264e-01	1.512978e+05	1
169	2.440871e-01	1.386531e+05	1
170	2.440871e-01	1.572057e+05	0
171	2.451675e-01	1.395361e+05	1
172	2.593717e-01	1.321495e+05	1
173	2.779666e-01	1.540622e+05	1
174	2.770939e-01	1.363432e+05	1
175	3.067683e-01	1.531221e+05	1
176	3.084952e-01	1.376386e+05	1
177	3.051272e-01	1.681247e+05	1
178	3.269598e-01	1.514180e+05	1
179	3.177165e-01	1.354563e+05	1
180	2.946035e-01	1.493692e+05	1
181	3.348189e-01	1.414571e+05	1
182	3.326984e-01	1.388505e+05	1
183	3.802291e-01	1.391184e+05	1
184	3.756036e-01	1.293876e+05	1
185	3.484356e-01	1.395586e+05	1
186	3.426186e-01	1.409730e+05	1
187	3.424385e-01	1.498561e+05	1
188	3.547089e-01	1.447282e+05	1
189	3.808891e-01	1.402674e+05	1
190	3.511603e-01	1.433736e+05	1
191	3.601562e-01	1.473723e+05	1
192	3.570500e-01	1.451306e+05	1
193	3.555677e-01	1.301186e+05	1
194	3.655414e-01	1.513258e+05	1
195	3.854878e-01	1.467544e+05	1
196	3.719994e-01	1.370517e+05	1
197	4.021608e-01	1.474739e+05	1
198	4.430034e-01	1.457683e+05	1
199	3.964082e-01	1.588840e+05	1
200	3.964082e-01	1.520607e+05	0
201	3.964082e-01	1.414229e+05	0
202	3.964082e-01	1.552843e+05	0
203	3.819791e-01	1.393020e+05	1
204	3.819791e-01	1.379407e+05	0
205	3.840628e-01	1.335253e+05	1
206	3.840405e-01	1.429845e+05	1
207	3.496647e-01	1.351275e+05	1
208	3.526782e-01	1.563499e+05	1
209	3.681931e-01	1.565095e+05	1
210	3.844511e-01	1.439266e+05	1
211	4.376917e-01	1.346367e+05	1
212	4.376917e-01	1.535135e+05	0
213	4.450146e-01	1.448828e+05	1
214	4.383511e-01	1.348807e+05	1
215	4.383511e-01	1.514762e+05	0
216	4.383511e-01	1.428199e+05	0
217	4.573069e-01	1.357951e+05	1
218	4.724855e-01	1.446905e+05	1
219	4.432436e-01	1.327755e+05	1
220	4.740195e-01	1.452772e+05	1
221	4.613957e-01	1.512763e+05	1
222	4.991605e-01	1.378864e+05	1
223	5.072549e-01	1.548944e+05	1
224	5.240314e-01	1.396807e+05	1
225	4.628434e-01	1.406010e+05	1
226	4.759612e-01	1.505637e+05	1
227	4.580387e-01	1.516705e+05	1
228	4.470094e-01	1.379383e+05	1
229	4.781690e-01	1.555142e+05	1
230	4.826071e-01	1.688974e+05	1
231	5.196515e-01	1.528378e+05	1
232	5.040209e-01	1.441215e+05	1
233	4.842590e-01	1.471204e+05	1
234	4.755037e-01	1.468162e+05	1
235	4.783915e-01	1.293534e+05	1
236	4.815112e-01	1.515801e+05	1
237	4.815112e-01	1.578796e+05	0
238	4.681177e-01	1.402734e+05	1
239	5.093072e-01	1.436585e+05	1
240	5.414860e-01	1.431920e+05	1
241	5.657822e-01	1.279865e+05	1
242	5.474613e-01	1.355148e+05	1
243	5.949288e-01	1.473650e+05	1
244	5.823728e-01	1.320983e+05	1
245	5.692895e-01	1.298345e+05	1
246	5.692895e-01	1.471945e+05	0
247	5.854667e-01	1.338236e+05	1
248	5.577101e-01	1.450443e+05	1
249	6.141969e-01	1.351115e+05	1
250	6.708809e-01	1.431248e+05	1
251	6.323094e-01	1.454828e+05	1
252	6.877663e-01	1.450421e+05	1
253	7.135699e-01	1.508071e+05	1
254	7.304703e-01	1.514435e+05	1
255	7.393178e-01	1.475442e+05	1
256	7.611940e-01	1.490474e+05	1
257	7.690076e-01	1.439794e+05	1
258	7.365350e-01	1.415114e+05	1
259	7.268692e-01	1.285131e+05	1
260	7.647398e-01	1.522467e+05	1
261	7.160942e-01	1.416112e+05	1
262	7.437389e-01	1.384851e+05	1
263	7.632986e-01	1.427484e+05	1
264	7.716185e-01	1.455764e+05	1
265	8.365295e-01	1.529675e+05	1
266	8.365295e-01	1.499678e+05	0
267	8.289758e-01	1.349307e+05	1
268	8.369684e-01	1.542595e+05	1
269	8.611917e-01	1.435347e+05	1
270	8.611917e-01	1.564598e+05	0
271	8.611917e-01	1.473204e+05	0
272	8.611917e-01	1.591885e+05	0
273	9.293526e-01	1.354810e+05	1
274	9.623736e-01	1.396815e+05	1
275	9.903035e-01	1.555668e+05	1
276	1.077653e+00	1.413500e+05	1
277	9.917720e-01	1.517739e+05	1
278	9.917720e-01	1.633940e+05	0
279	1.000035e+00	1.454104e+05	1
280	1.006139e+00	1.442405e+05	1
281	9.299808e-01	1.390835e+05	1
282	9.880032e-01	1.466036e+05	1
283	1.034285e+00	1.509995e+05	1
284	9.968256e-01	1.490932e+05	1
285	9.946330e-01	1.372016e+05	1
286	1.009780e+00	1.292667e+05	1
287	9.950613e-01	1.359785e+05	1
288	1.072961e+00	1.458030e+05	1
289	1.078205e+00	1.418655e+05	1
290	1.116553e+00	1.570611e+05	1
291	1.067011e+00	1.392022e+05	1
292	1.151579e+00	1.345581e+05	1
293	1.164363e+00	1.420831e+05	1
294	1.175086e+00	1.507623e+05	1
295	1.176489e+00	1.398451e+05	1
296	1.148256e+00	1.523309e+05	1
297	1.219388e+00	1.298719e+05	1
298	1.265698e+00	1.524070e+05	1
299	1.185500e+00	1.577876e+05	1
300	1.103568e+00	1.245520e+05	1
301	1.140187e+00	1.408414e+05	1
302	1.114505e+00	1.475424e+05	1
303	1.129305e+00	1.492007e+05	1
304	1.140843e+00	1.417875e+05	1
305	1.162163e+00	1.448409e+05	1
306	1.138220e+00	1.364714e+05	1
307	1.133240e+00	1.440835e+05	1
308	1.133240e+00	1.385164e+05	0
309	1.160448e+00	1.412513e+05	1
310	1.132868e+00	1.390575e+05	1
311	1.111133e+00	1.437464e+05	1
312	1.080091e+00	1.412175e+05	1
313	1.038382e+00	1.609101e+05	1
314	9.686392e-01	1.335538e+05	1
315	8.773559e-01	1.436409e+05	1
316	8.661569e-01	1.242540e+05	1
317	8.945703e-01	1.382122e+05	1
318	9.627120e-01	1.498812e+05	1
319	9.609612e-01	1.386530e+05	1
320	9.459569e-01	1.283886e+05	1
321	9.288330e-01	1.378268e+05	1
322	9.015576e-01	1.349326e+05	1
323	9.260013e-01	1.492967e+05	1
324	9.672805e-01	1.408656e+05	1
325	9.696937e-01	1.371104e+05	1
326	9.907508e-01	1.576470e+05	1
327	1.007801e+00	1.443054e+05	1
328	9.620695e-01	1.472035e+05	1
329	9.985134e-01	1.563396e+05	1
330	1.001991e+00	1.522525e+05	1
331	9.639178e-01	1.419033e+05	1
332	9.594161e-01	1.414775e+05	1
333	9.594161e-01	1.491040e+05	0
334	9.594161e-01	1.460882e+05	0
335	9.691487e-01	1.328473e+05	1
336	9.702779e-01	1.410842e+05	1
337	9.165150e-01	1.316874e+05	1
338	8.931523e-01	1.423944e+05	1
339	9.144513e-01	1.392081e+05	1
340	8.453428e-01	1.506730e+05	1
341	9.298251e-01	1.445155e+05	1
342	9.461399e-01	1.384870e+05	1
343	9.413048e-01	1.493661e+05	1
344	9.204342e-01	1.386579e+05	1
345	9.393769e-01	1.374290e+05	1
346	9.299273e-01	1.539737e+05	1
347	8.622512e-01	1.569075e+05	1
348	8.203828e-01	1.393799e+05	1
349	8.737434e-01	1.412217e+05	1
350	8.737434e-01	1.454331e+05	0
351	8.737434e-01	1.580698e+05	0
352	8.871852e-01	1.428250e+05	1
353	8.339735e-01	1.421056e+05	1
354	8.339735e-01	1.394096e+05	0
355	8.231388e-01	1.334292e+05	1
356	7.985685e-01	1.501365e+05	1
357	7.834267e-01	1.489968e+05	1
358	7.653449e-01	1.522397e+05	1
359	8.117955e-01	1.468330e+05	1
360	7.351493e-01	1.481986e+05	1
361	6.711653e-01	1.328388e+05	1
362	7.438200e-01	1.328659e+05	1
363	7.328112e-01	1.350829e+05	1
364	7.328344e-01	1.504472e+05	1
365	7.584249e-01	1.468664e+05	1
366	7.194588e-01	1.571542e+05	1
367	7.185290e-01	1.391521e+05	1
368	7.473424e-01	1.311696e+05	1
369	7.591685e-01	1.416373e+05	1
370	8.601321e-01	1.394171e+05	1
371	8.595111e-01	1.408740e+05	1
372	9.146440e-01	1.496747e+05	1
373	9.426194e-01	1.461420e+05	1
374	9.808227e-01	1.586798e+05	1
375	1.012906e+00	1.453853e+05	1
376	9.397713e-01	1.408460e+05	1
377	9.191727e-01	1.391187e+05	1
378	9.311097e-01	1.462193e+05	1
379	9.311097e-01	1.529696e+05	0
380	9.311097e-01	1.540018e+05	0
381	9.720039e-01	1.398236e+05	1
382	1.011737e+00	1.473628e+05	1
383	1.023152e+00	1.477653e+05	1
384	9.576151e-01	1.511681e+05	1
385	9.576151e-01	1.452403e+05	0
386	9.567218e-01	1.433428e+05	1
387	9.677156e-01	1.404845e+05	1
388	9.683069e-01	1.508947e+05	1
389	1.028352e+00	1.464711e+05	1
390	1.101768e+00	1.484494e+05	1
391	1.083498e+00	1.449836e+05	1
392	1.118131e+00	1.559373e+05	1
393	1.118131e+00	1.531403e+05	0
394	1.124303e+00	1.599603e+05	1
395	1.161286e+00	1.566585e+05	1
396	1.194653e+00	1.517536e+05	1
397	1.126359e+00	1.598339e+05	1
398	1.099584e+00	1.289108e+05	1
399	1.078403e+00	1.477261e+05	1
400	1.061072e+00	1.560771e+05	1
401	1.147775e+00	1.322066e+05	1
402	1.178622e+00	1.442477e+05	1
403	1.170527e+00	1.558653e+05	1
404	1.235016e+00	1.391763e+05	1
405	1.235016e+00	1.515692e+05	0
406	1.263973e+00	1.372041e+05	1
407	1.329810e+00	1.576377e+05	1
408	1.418176e+00	1.636337e+05	1
409	1.423943e+00	1.390443e+05	1
410	1.423943e+00	1.592721e+05	0
411	1.398039e+00	1.404175e+05	1
412	1.472448e+00	1.533823e+05	1
413	1.546077e+00	1.425187e+05	1
414	1.532938e+00	1.550766e+05	1
415	1.558018e+00	1.442035e+05	1
416	1.573809e+00	1.384111e+05	1
417	1.573809e+00	1.432456e+05	0
418	1.573809e+00	1.511430e+05	0
419	1.587778e+00	1.398082e+05	1
420	1.605868e+00	1.428137e+05	1
421	1.665652e+00	1.502734e+05	1
422	1.587335e+00	1.485432e+05	1
423	1.681504e+00	1.363616e+05	1
424	1.710778e+00	1.452910e+05	1
425	1.710778e+00	1.487808e+05	0
426	1.714908e+00	1.322145e+05	1
427	1.714908e+00	1.516657e+05	0
428	1.801108e+00	1.383395e+05	1
429	1.742447e+00	1.515064e+05	1
430	1.820166e+00	1.608026e+05	1
431	1.772797e+00	1.458845e+05	1
432	1.828906e+00	1.457238e+05	1
433	1.774333e+00	1.533564e+05	1
434	1.664166e+00	1.643295e+05	1
435	1.707244e+00	1.582258e+05	1
436	1.617402e+00	1.356599e+05	1
437	1.703655e+00	1.403949e+05	1
438	1.705330e+00	1.430345e+05	1
439	1.779453e+00	1.488928e+05	1
440	1.779453e+00	1.646506e+05	0
441	1.769683e+00	1.415851e+05	1
442	1.716425e+00	1.496061e+05	1
443	1.818645e+00	1.436054e+05	1
444	1.773774e+00	1.470588e+05	1
445	1.749755e+00	1.504795e+05	1
446	1.659491e+00	1.651593e+05	1
447	1.663190e+00	1.417838e+05	1
448	1.636341e+00	1.465416e+05	1
449	1.672886e+00	1.496587e+05	1
450	1.745699e+00	1.450779e+05	1
451	1.803719e+00	1.504430e+05	1
452	1.908121e+00	1.381466e+05	1
453	1.976842e+00	1.377728e+05	1
454	2.071348e+00	1.295919e+05	1
455	2.050696e+00	1.412725e+05	1
456	2.050696e+00	1.453048e+05	0
457	2.063120e+00	1.532484e+05	1
458	2.140932e+00	1.338781e+05	1
459	2.140729e+00	1.488390e+05	1
460	2.195856e+00	1.544216e+05	1
461	2.159864e+00	1.629640e+05	1
462	2.131274e+00	1.498537e+05	1
463	2.182190e+00	1.408073e+05	1
464	2.272867e+00	1.370155e+05	1
465	2.286754e+00	1.366222e+05	1
466	2.207532e+00	1.433673e+05	1
467	2.185566e+00	1.259197e+05	1
468	2.261175e+00	1.411262e+05	1
469	2.261175e+00	1.477349e+05	0
470	2.248889e+00	1.448304e+05	1
471	2.179912e+00	1.371462e+05	1
472	2.235992e+00	1.545719e+05	1
473	2.282289e+00	1.448910e+05	1
474	2.441818e+00	1.364439e+05	1
475	2.411430e+00	1.514868e+05	1
476	2.331522e+00	1.576038e+05	1
477	2.246780e+00	1.475045e+05	1
478	2.198151e+00	1.572079e+05	1
479	2.191306e+00	1.331897e+05	1
480	2.161557e+00	1.449595e+05	1
481	2.076497e+00	1.411103e+05	1
