N	P	M	v0	beta	num_steps
10	50	47	2.000000e-01	7.000000e-01	50000
i	V_beta	h^2	H_{HMC}	h	Acc.
87	4.222212e-01	4.194462e-02	4.022247e+04	4.710989e-01	1
88	3.243726e-01	7.020080e-02	3.820917e+04	6.561330e-01	1
89	3.759071e-01	7.706107e-02	3.164431e+04	6.974756e-01	1
90	3.835897e-01	3.516078e-02	3.317732e+04	9.448187e-01	1
91	4.100950e-01	8.474703e-02	3.706942e+04	8.623280e-01	1
92	4.922191e-01	2.600061e-02	3.460654e+04	7.861127e-01	1
93	4.846221e-01	1.092568e-01	3.678155e+04	7.774011e-01	1
94	5.465619e-01	2.611155e-01	3.479367e+04	9.020151e-01	1
95	4.976177e-01	4.012368e-01	3.564337e+04	6.481248e-01	1
96	5.465232e-01	3.580410e-01	4.154778e+04	8.899821e-01	1
97	5.677432e-01	3.502409e-01	3.710063e+04	1.143707e+00	1
98	4.987882e-01	3.506861e-01	3.997184e+04	1.170061e+00	1
99	5.278510e-01	3.836386e-01	3.691115e+04	1.186351e+00	1
100	5.105394e-01	2.807938e-01	3.469204e+04	9.375374e-01	1
101	5.345331e-01	4.610359e-01	4.337045e+04	1.066959e+00	1
102	5.536250e-01	5.534218e-01	3.442751e+04	1.138285e+00	1
103	5.772649e-01	3.724612e-01	3.619537e+04	1.262452e+00	1
104	6.236817e-01	4.159787e-01	3.485354e+04	1.196258e+00	1
105	7.515320e-01	5.647376e-01	3.288193e+04	1.056991e+00	1
106	7.711817e-01	6.198895e-01	3.580519e+04	1.135246e+00	1
107	7.810154e-01	7.875790e-01	3.250202e+04	1.100747e+00	1
108	7.571836e-01	8.809747e-01	3.211209e+04	9.844466e-01	1
109	7.717520e-01	5.685508e-01	3.658707e+04	1.042192e+00	1
110	7.717520e-01	5.685508e-01	3.928501e+04	1.042192e+00	0
111	7.269455e-01	1.063787e+00	3.664023e+04	9.422497e-01	1
112	7.440843e-01	7.933286e-01	3.290002e+04	9.331474e-01	1
113	7.654744e-01	7.393010e-01	3.766263e+04	9.962449e-01	1
114	8.588675e-01	1.017401e+00	3.478899e+04	9.785222e-01	1
115	9.306782e-01	1.240073e+00	3.910686e+04	1.014853e+00	1
116	1.010585e+00	1.301850e+00	3.985591e+04	1.142784e+00	1
117	1.046888e+00	1.689496e+00	3.515378e+04	1.069882e+00	1
118	9.995501e-01	1.679753e+00	3.646736e+04	1.188425e+00	1
119	9.537324e-01	2.084849e+00	3.557918e+04	1.405721e+00	1
120	8.496825e-01	1.750526e+00	3.713817e+04	1.304268e+00	1
121	8.947855e-01	2.367598e+00	3.200808e+04	1.459474e+00	1
122	8.823611e-01	1.796561e+00	3.492600e+04	1.290337e+00	1
123	8.093472e-01	2.027895e+00	3.149658e+04	1.245088e+00	1
124	7.368994e-01	1.895969e+00	3.103131e+04	1.252439e+00	1
125	7.621468e-01	2.198479e+00	3.733713e+04	1.199157e+00	1
126	6.864730e-01	2.019818e+00	3.835306e+04	8.265211e-01	1
127	6.864730e-01	2.019818e+00	4.240109e+04	8.265211e-01	0
128	6.222648e-01	1.969766e+00	3.153742e+04	8.225757e-01	1
129	6.738770e-01	1.815032e+00	3.758209e+04	7.874395e-01	1
130	7.235708e-01	2.329603e+00	3.500905e+04	1.067192e+00	1
131	7.011021e-01	2.125423e+00	3.514138e+04	8.517533e-01	1
132	5.813867e-01	2.557999e+00	4.028320e+04	9.274720e-01	1
133	5.347683e-01	2.636326e+00	3.591096e+04	8.084123e-01	1
134	6.003152e-01	2.458592e+00	3.983710e+04	1.062571e+00	1
135	6.179312e-01	2.037638e+00	3.829825e+04	9.924427e-01	1
136	6.035562e-01	2.669916e+00	2.988839e+04	1.017607e+00	1
137	6.700775e-01	1.935461e+00	3.764791e+04	7.581937e-01	1
138	6.591010e-01	2.216771e+00	3.263567e+04	6.851110e-01	1
139	5.377456e-01	2.411489e+00	3.885889e+04	6.188656e-01	1
140	5.596854e-01	2.148623e+00	3.595396e+04	8.066486e-01	1
141	6.165656e-01	1.710389e+00	3.603806e+04	7.876172e-01	1
142	6.165656e-01	1.710389e+00	3.407411e+04	7.876172e-01	0
143	6.042469e-01	2.592680e+00	2.983331e+04	5.988069e-01	1
144	6.420265e-01	2.945900e+00	3.707056e+04	5.896627e-01	1
145	6.268578e-01	3.006544e+00	3.557445e+04	7.392239e-01	1
146	6.436292e-01	2.780040e+00	3.338831e+04	8.615241e-01	1
147	7.096364e-01	3.017805e+00	3.672379e+04	1.169137e+00	1
148	7.315603e-01	2.894698e+00	3.790554e+04	1.226504e+00	1
149	7.313747e-01	2.697099e+00	3.532035e+04	8.471118e-01	1
150	7.638280e-01	2.370047e+00	3.446553e+04	8.205272e-01	1
151	7.600219e-01	2.700747e+00	3.387245e+04	9.227261e-01	1
152	8.350329e-01	2.737936e+00	3.184797e+04	9.705868e-01	1
153	8.350329e-01	2.737936e+00	3.723003e+04	9.705868e-01	0
154	8.530744e-01	1.731225e+00	3.529685e+04	9.559707e-01	1
155	8.667555e-01	1.697881e+00	3.412786e+04	8.096483e-01	1
156	8.669150e-01	1.793866e+00	3.408778e+04	9.779778e-01	1
157	9.189601e-01	1.282967e+00	3.528098e+04	9.660141e-01	1
158	8.627827e-01	1.721740e+00	3.615416e+04	8.857134e-01	1
159	8.798328e-01	1.792774e+00	3.477313e+04	7.257006e-01	1
160	9.328516e-01	1.969030e+00	3.388087e+04	5.065792e-01	1
161	1.035999e+00	1.684220e+00	3.662726e+04	3.338465e-01	1
162	1.030427e+00	1.768492e+00	3.958951e+04	4.163404e-01	1
163	1.125524e+00	2.060779e+00	3.407760e+04	6.506308e-01	1
164	1.125524e+00	2.060779e+00	3.552139e+04	6.506308e-01	0
165	1.125524e+00	2.060779e+00	3.770575e+04	6.506308e-01	0
166	1.125524e+00	2.060779e+00	3.813623e+04	6.506308e-01	0
167	1.175413e+00	2.114812e+00	3.427883e+04	7.804990e-01	1
168	1.121597e+00	3.348973e+00	3.665974e+04	7.710847e-01	1
169	1.122051e+00	3.359699e+00	3.033853e+04	5.845188e-01	1
170	1.050353e+00	3.910956e+00	3.164099e+04	4.269429e-01	1
171	1.052903e+00	3.862382e+00	3.472984e+04	3.371269e-01	1
172	1.132096e+00	4.287370e+00	3.685067e+04	2.043785e-01	1
173	1.264133e+00	3.033114e+00	3.834009e+04	3.530792e-01	1
174	1.264133e+00	3.033114e+00	3.471179e+04	3.530792e-01	0
175	1.264133e+00	3.033114e+00	3.648198e+04	3.530792e-01	0
176	1.287630e+00	2.399480e+00	2.613194e+04	2.444827e-01	1
177	1.321440e+00	2.729575e+00	3.594032e+04	5.052917e-01	1
178	1.390570e+00	1.655043e+00	3.470700e+04	5.280772e-01	1
179	1.390570e+00	1.655043e+00	3.594835e+04	5.280772e-01	0
180	1.390570e+00	1.655043e+00	3.917290e+04	5.280772e-01	0
181	1.366246e+00	1.096444e+00	3.275998e+04	5.210976e-01	1
182	1.419698e+00	6.429251e-01	3.575070e+04	4.462145e-01	1
183	1.484705e+00	5.633724e-01	4.034223e+04	4.361908e-01	1
184	1.590272e+00	2.515737e-01	3.548761e+04	3.515482e-01	1
185	1.619900e+00	5.858785e-01	3.470931e+04	2.001006e-01	1
186	1.545043e+00	6.713808e-01	3.920451e+04	3.527453e-01	1
187	1.529909e+00	1.089227e+00	3.935676e+04	4.913249e-01	1
188	1.695453e+00	1.154702e+00	3.798570e+04	5.429302e-01	1
189	1.624889e+00	1.063170e+00	4.015633e+04	3.895049e-01	1
190	1.447609e+00	1.011595e+00	3.289066e+04	3.877256e-01	1
191	1.525887e+00	8.788827e-01	4.115175e+04	2.766381e-01	1
192	1.557922e+00	9.175409e-01	3.543557e+04	2.251561e-01	1
193	1.557279e+00	8.284361e-01	3.798531e+04	3.066201e-01	1
194	1.543606e+00	7.304405e-01	3.773624e+04	2.724335e-01	1
195	1.788889e+00	1.990799e-01	3.307485e+04	1.120196e-01	1
196	1.945759e+00	1.562831e-01	3.585501e+04	2.144453e-02	1
197	1.983089e+00	1.738263e-01	4.120642e+04	7.575520e-02	1
198	2.141159e+00	2.277558e-01	3.448755e+04	1.278438e-01	1
199	1.980398e+00	1.012071e-01	3.424285e+04	-1.102483e-01	1
200	1.978673e+00	3.223886e-01	3.589324e+04	-1.706146e-01	1
201	2.115040e+00	2.927566e-01	3.402374e+04	7.512945e-02	1
202	2.114856e+00	5.121643e-01	3.352503e+04	3.077767e-01	1
203	2.114856e+00	5.121643e-01	3.586157e+04	3.077767e-01	0
204	2.114856e+00	5.121643e-01	4.253220e+04	3.077767e-01	0
205	2.275108e+00	5.500742e-01	3.602584e+04	4.296568e-01	1
206	2.396250e+00	8.679017e-01	3.576920e+04	7.655770e-01	1
207	2.398127e+00	1.045573e+00	3.437239e+04	8.342942e-01	1
208	2.461751e+00	8.153830e-01	3.836728e+04	8.745725e-01	1
209	2.757983e+00	3.856280e-01	3.873153e+04	9.498596e-01	1
210	2.497536e+00	4.734103e-01	3.427226e+04	1.072461e+00	1
211	2.471275e+00	3.803618e-01	3.684663e+04	1.208429e+00	1
212	2.509197e+00	5.553456e-01	3.541825e+04	1.163388e+00	1
213	2.309598e+00	3.327113e-01	4.057313e+04	8.408609e-01	1
214	2.309598e+00	3.327113e-01	3.922177e+04	8.408609e-01	0
