N	P	M	v0	beta	num_steps
10	50	47	2.000000e-01	7.000000e-01	50000
i	V_beta	h^2	H_{HMC}	h	Acc.
15573	3.642283e+00	6.318977e+00	4.537059e+04	-1.965442e-01	1
15574	3.536987e+00	6.848940e+00	4.318403e+04	3.850913e-02	1
15575	3.524495e+00	6.308761e+00	3.731412e+04	-4.219127e-02	1
15576	3.714743e+00	7.594719e+00	3.691178e+04	-2.434856e-01	1
15577	3.717219e+00	8.847327e+00	4.543443e+04	-5.876090e-02	1
15578	3.713540e+00	8.522758e+00	3.688794e+04	6.291813e-03	1
15579	3.745535e+00	8.647375e+00	4.516312e+04	-1.755246e-01	1
15580	3.894317e+00	7.983596e+00	4.359826e+04	-2.970847e-01	1
15581	4.066193e+00	6.843275e+00	3.988815e+04	-3.843362e-01	1
15582	4.325073e+00	6.956101e+00	4.413951e+04	-6.412340e-01	1
15583	4.198025e+00	7.355355e+00	3.677396e+04	-6.121422e-01	1
15584	4.139628e+00	8.421541e+00	4.003887e+04	-5.618847e-01	1
15585	4.061374e+00	8.252177e+00	4.644543e+04	-3.296866e-01	1
15586	4.151660e+00	8.989590e+00	4.311683e+04	-2.392577e-01	1
15587	4.226839e+00	8.602406e+00	4.002133e+04	-8.323934e-02	1
15588	4.306378e+00	9.567588e+00	3.814622e+04	-6.765815e-02	1
15589	4.306378e+00	9.567588e+00	4.382760e+04	-6.765815e-02	0
15590	4.214718e+00	9.237413e+00	4.405140e+04	1.002378e-01	1
15591	4.205512e+00	8.741595e+00	3.968138e+04	4.959063e-02	1
15592	4.185828e+00	7.760652e+00	4.100342e+04	9.143505e-02	1
15593	4.240413e+00	7.017029e+00	4.556736e+04	1.500317e-01	1
15594	4.240413e+00	7.017029e+00	4.197092e+04	1.500317e-01	0
15595	4.194189e+00	6.934534e+00	4.594189e+04	8.165110e-02	1
15596	4.500916e+00	6.817473e+00	4.510136e+04	1.136490e-01	1
15597	4.396471e+00	7.733618e+00	4.488758e+04	1.394268e-01	1
15598	4.444921e+00	7.961592e+00	4.602188e+04	6.383109e-03	1
15599	4.643349e+00	6.927048e+00	4.026862e+04	-1.374379e-01	1
15600	4.707544e+00	7.508870e+00	4.237023e+04	-5.058826e-01	1
15601	4.335901e+00	6.302032e+00	4.893600e+04	-2.944500e-01	1
15602	4.335901e+00	6.302032e+00	4.521139e+04	-2.944500e-01	0
15603	4.324757e+00	6.195008e+00	4.018803e+04	-8.912063e-02	1
15604	4.270177e+00	5.897320e+00	4.775139e+04	-6.689859e-02	1
15605	4.336455e+00	6.923172e+00	4.019321e+04	1.869542e-01	1
15606	4.095861e+00	6.897606e+00	4.386854e+04	4.066574e-01	1
15607	4.092907e+00	6.914299e+00	4.172841e+04	5.964545e-01	1
15608	4.097459e+00	6.159272e+00	4.592734e+04	3.863673e-01	1
15609	4.241228e+00	5.908153e+00	3.996702e+04	4.241493e-01	1
15610	4.131589e+00	5.602472e+00	4.692530e+04	3.301782e-01	1
15611	4.054617e+00	5.206263e+00	4.489755e+04	5.285588e-01	1
15612	3.943074e+00	4.556996e+00	4.233445e+04	5.172443e-01	1
15613	3.786675e+00	4.925572e+00	4.330481e+04	7.600166e-01	1
15614	3.777715e+00	4.790892e+00	4.777538e+04	9.458776e-01	1
15615	3.954800e+00	4.723744e+00	4.061120e+04	8.533631e-01	1
15616	3.963688e+00	5.658619e+00	3.940379e+04	7.698790e-01	1
15617	4.066932e+00	6.737820e+00	4.485141e+04	8.700944e-01	1
15618	4.167085e+00	5.689578e+00	4.620988e+04	9.444040e-01	1
15619	4.254940e+00	5.518173e+00	4.353787e+04	7.997188e-01	1
15620	4.256963e+00	5.357379e+00	3.810075e+04	8.562011e-01	1
15621	4.428539e+00	5.795532e+00	4.220878e+04	7.238796e-01	1
15622	4.428539e+00	5.795532e+00	4.395236e+04	7.238796e-01	0
15623	4.245772e+00	7.110688e+00	4.469692e+04	6.790129e-01	1
15624	4.245772e+00	7.110688e+00	4.507419e+04	6.790129e-01	0
15625	4.229981e+00	6.816591e+00	3.906526e+04	6.627529e-01	1
15626	4.194208e+00	7.166988e+00	4.676626e+04	7.228230e-01	1
15627	4.116100e+00	7.797781e+00	4.286816e+04	7.855945e-01	1
15628	4.055980e+00	8.916677e+00	4.500180e+04	8.631151e-01	1
15629	4.175078e+00	9.577875e+00	4.958255e+04	9.867642e-01	1
15630	4.355135e+00	9.373772e+00	4.510968e+04	8.987568e-01	1
15631	4.391368e+00	9.254645e+00	4.253774e+04	8.204668e-01	1
15632	4.325247e+00	9.444789e+00	4.073187e+04	9.117052e-01	1
15633	4.325811e+00	9.258696e+00	4.695102e+04	9.563197e-01	1
15634	4.402238e+00	1.099213e+01	4.458153e+04	7.503582e-01	1
15635	4.402238e+00	1.099213e+01	4.192794e+04	7.503582e-01	0
15636	4.180181e+00	9.259821e+00	3.985076e+04	8.158022e-01	1
15637	4.283509e+00	8.714794e+00	3.696829e+04	7.254096e-01	1
15638	4.074256e+00	8.134602e+00	3.970716e+04	7.700349e-01	1
15639	4.080158e+00	7.409146e+00	3.901679e+04	6.259334e-01	1
15640	3.911351e+00	7.645928e+00	4.297537e+04	8.155582e-01	1
15641	3.911351e+00	7.645928e+00	4.151916e+04	8.155582e-01	0
15642	3.741972e+00	9.008294e+00	3.840444e+04	8.381861e-01	1
15643	3.694670e+00	9.515950e+00	4.800870e+04	9.563598e-01	1
15644	3.665413e+00	9.370067e+00	4.378720e+04	9.189117e-01	1
15645	3.754194e+00	9.681732e+00	4.488600e+04	1.000293e+00	1
15646	3.641102e+00	1.067854e+01	4.321744e+04	8.724472e-01	1
15647	3.719163e+00	1.187890e+01	4.379344e+04	8.233594e-01	1
15648	3.919892e+00	1.183904e+01	4.269998e+04	6.883754e-01	1
15649	3.885285e+00	1.378479e+01	4.430615e+04	9.210071e-01	1
15650	3.933986e+00	1.301361e+01	4.464283e+04	1.092816e+00	1
15651	3.748487e+00	1.301755e+01	3.885417e+04	1.315515e+00	1
15652	3.820690e+00	1.320443e+01	4.163765e+04	1.638692e+00	1
15653	3.869839e+00	1.418632e+01	4.464098e+04	1.273545e+00	1
15654	3.908760e+00	1.177658e+01	4.035179e+04	1.118332e+00	1
15655	3.866153e+00	1.233824e+01	4.363078e+04	9.981253e-01	1
15656	3.936059e+00	1.106311e+01	4.338174e+04	1.122994e+00	1
15657	4.041092e+00	1.001658e+01	3.449002e+04	9.939043e-01	1
15658	3.884771e+00	1.134202e+01	4.083641e+04	1.045453e+00	1
15659	3.884771e+00	1.134202e+01	3.968151e+04	1.045453e+00	0
15660	3.884771e+00	1.134202e+01	4.616018e+04	1.045453e+00	0
15661	3.750074e+00	1.094968e+01	3.743823e+04	1.012488e+00	1
15662	3.750074e+00	1.094968e+01	4.294741e+04	1.012488e+00	0
15663	3.716238e+00	1.180248e+01	4.224904e+04	1.177439e+00	1
15664	3.699784e+00	1.301404e+01	3.729358e+04	1.224102e+00	1
15665	3.638962e+00	1.348956e+01	4.103101e+04	1.181972e+00	1
15666	3.571690e+00	1.230140e+01	3.968724e+04	1.279369e+00	1
15667	3.650057e+00	1.104230e+01	3.899255e+04	1.406759e+00	1
15668	3.613399e+00	1.149769e+01	4.021324e+04	1.594698e+00	1
15669	3.585917e+00	1.277435e+01	4.159794e+04	1.573683e+00	1
15670	3.585917e+00	1.277435e+01	4.276798e+04	1.573683e+00	0
15671	3.539404e+00	1.378106e+01	4.199058e+04	1.608737e+00	1
15672	3.481739e+00	1.461346e+01	4.237087e+04	1.752258e+00	1
15673	3.493734e+00	1.518058e+01	4.095979e+04	1.817666e+00	1
15674	3.689770e+00	1.753503e+01	4.346566e+04	1.753675e+00	1
15675	3.735267e+00	1.697708e+01	4.504084e+04	1.722131e+00	1
15676	3.673353e+00	1.391646e+01	4.214467e+04	1.924114e+00	1
15677	3.772008e+00	1.408553e+01	4.399362e+04	1.717974e+00	1
15678	3.835486e+00	1.578582e+01	4.120039e+04	1.788804e+00	1
15679	4.052451e+00	1.695410e+01	4.650152e+04	1.536892e+00	1
15680	3.989837e+00	1.686972e+01	4.742957e+04	1.850339e+00	1
15681	4.227353e+00	1.732805e+01	4.145567e+04	1.512016e+00	1
15682	4.227353e+00	1.732805e+01	4.925204e+04	1.512016e+00	0
15683	4.303053e+00	1.787500e+01	4.636867e+04	1.579166e+00	1
15684	4.335045e+00	1.824088e+01	4.576840e+04	1.424591e+00	1
15685	4.237408e+00	1.826265e+01	4.335995e+04	1.415648e+00	1
15686	4.280622e+00	1.924910e+01	4.546751e+04	1.242469e+00	1
15687	4.460269e+00	1.793260e+01	4.204456e+04	1.033569e+00	1
15688	4.367797e+00	1.656708e+01	4.287448e+04	1.047265e+00	1
15689	4.151457e+00	1.788389e+01	3.943267e+04	1.264471e+00	1
15690	4.082972e+00	1.979012e+01	4.249940e+04	1.380041e+00	1
15691	3.946886e+00	1.934294e+01	4.043544e+04	1.572225e+00	1
15692	3.946886e+00	1.934294e+01	4.672615e+04	1.572225e+00	0
15693	3.829479e+00	1.904326e+01	3.574394e+04	1.727810e+00	1
15694	3.904874e+00	2.094363e+01	4.332079e+04	1.834219e+00	1
15695	3.784941e+00	2.028573e+01	4.086019e+04	1.737547e+00	1
15696	3.642069e+00	1.885877e+01	4.374754e+04	1.841972e+00	1
15697	3.636077e+00	2.173311e+01	4.344977e+04	1.882669e+00	1
15698	3.633901e+00	2.092107e+01	4.273572e+04	1.983332e+00	1
15699	3.796173e+00	2.386606e+01	4.394826e+04	1.776770e+00	1
15700	3.819750e+00	2.376320e+01	4.227046e+04	1.662533e+00	1
15701	3.762500e+00	2.323857e+01	4.476126e+04	2.041102e+00	1
15702	3.819141e+00	2.239280e+01	4.489881e+04	1.951744e+00	1
15703	3.712754e+00	2.386209e+01	4.135784e+04	2.000658e+00	1
15704	3.799007e+00	2.294486e+01	4.692846e+04	2.027362e+00	1
15705	3.674276e+00	2.315512e+01	4.657224e+04	2.022197e+00	1
15706	3.759146e+00	2.146754e+01	4.174772e+04	2.073774e+00	1
15707	4.005649e+00	2.164872e+01	4.227238e+04	2.017596e+00	1
15708	4.216139e+00	2.289900e+01	4.514291e+04	2.095406e+00	1
15709	4.115372e+00	2.224096e+01	4.308989e+04	2.275660e+00	1
15710	4.035803e+00	2.141768e+01	4.645375e+04	2.205337e+00	1
15711	3.971868e+00	2.135351e+01	4.106512e+04	2.018842e+00	1
15712	4.061899e+00	2.284489e+01	3.856588e+04	1.890918e+00	1
15713	4.139592e+00	2.260553e+01	3.973837e+04	2.023850e+00	1
15714	4.407724e+00	2.293229e+01	4.409054e+04	1.852647e+00	1
15715	4.549533e+00	2.447410e+01	4.466352e+04	2.002447e+00	1
15716	4.269240e+00	2.587500e+01	4.147477e+04	1.919304e+00	1
15717	4.269240e+00	2.587500e+01	4.597992e+04	1.919304e+00	0
15718	4.316287e+00	2.568182e+01	4.385202e+04	1.922517e+00	1
15719	4.296623e+00	2.488616e+01	4.272291e+04	2.200303e+00	1
15720	4.244140e+00	2.487214e+01	3.784469e+04	2.252559e+00	1
15721	4.285412e+00	2.616916e+01	4.356521e+04	2.193523e+00	1
15722	4.285412e+00	2.616916e+01	5.260697e+04	2.193523e+00	0
15723	4.239349e+00	2.819301e+01	4.035961e+04	1.963699e+00	1
15724	4.292683e+00	3.064013e+01	4.365643e+04	1.814930e+00	1
15725	4.035620e+00	3.238951e+01	4.352707e+04	1.695739e+00	1
15726	4.035620e+00	3.238951e+01	4.518248e+04	1.695739e+00	0
15727	4.087623e+00	3.501769e+01	3.924927e+04	1.727817e+00	1
15728	4.065433e+00	3.942156e+01	4.329692e+04	1.659885e+00	1
15729	4.361977e+00	4.123631e+01	4.328410e+04	1.427622e+00	1
15730	4.425050e+00	3.934346e+01	4.390415e+04	1.624562e+00	1
15731	4.509464e+00	4.307745e+01	4.965817e+04	1.550697e+00	1
15732	4.487203e+00	4.157813e+01	4.674657e+04	1.852847e+00	1
15733	4.396432e+00	4.228445e+01	4.241187e+04	1.950880e+00	1
15734	4.343810e+00	4.060357e+01	4.881050e+04	2.093609e+00	1
15735	4.381450e+00	4.001236e+01	4.420356e+04	2.192161e+00	1
15736	4.211821e+00	3.771841e+01	4.714841e+04	2.258310e+00	1
15737	4.045290e+00	3.654490e+01	4.450445e+04	2.490166e+00	1
15738	4.192890e+00	3.815125e+01	4.445962e+04	2.538102e+00	1
15739	4.398261e+00	3.743333e+01	3.870406e+04	2.805330e+00	1
15740	4.398261e+00	3.743333e+01	4.331286e+04	2.805330e+00	0
15741	4.344212e+00	3.543088e+01	4.032698e+04	2.812126e+00	1
15742	4.207119e+00	3.783107e+01	3.741663e+04	2.896859e+00	1
15743	4.071914e+00	3.776500e+01	4.199778e+04	2.916142e+00	1
15744	3.966479e+00	3.557392e+01	4.055175e+04	2.761133e+00	1
15745	4.008981e+00	3.623729e+01	4.091095e+04	2.804934e+00	1
15746	3.907023e+00	3.558041e+01	4.352095e+04	2.844973e+00	1
15747	4.098052e+00	3.536233e+01	4.379096e+04	2.998675e+00	1
15748	3.881419e+00	3.509705e+01	4.737623e+04	3.180886e+00	1
15749	3.881419e+00	3.509705e+01	4.161338e+04	3.180886e+00	0
15750	3.764061e+00	3.265580e+01	4.476269e+04	3.294455e+00	1
15751	3.592249e+00	2.958527e+01	4.617481e+04	3.338477e+00	1
15752	3.474044e+00	2.979580e+01	4.580423e+04	3.368135e+00	1
15753	3.474044e+00	2.979580e+01	4.574203e+04	3.368135e+00	0
15754	3.427990e+00	3.256972e+01	4.179643e+04	3.277503e+00	1
15755	3.297684e+00	2.758891e+01	4.307596e+04	3.164708e+00	1
15756	3.297684e+00	2.758891e+01	4.712449e+04	3.164708e+00	0
15757	3.364682e+00	2.738531e+01	3.866159e+04	3.284514e+00	1
15758	3.384540e+00	2.411282e+01	4.275143e+04	3.278193e+00	1
15759	3.420927e+00	2.587532e+01	3.832383e+04	3.483240e+00	1
15760	3.640481e+00	2.573721e+01	4.086381e+04	3.445418e+00	1
15761	3.661571e+00	2.759117e+01	4.635430e+04	3.500643e+00	1
15762	3.661571e+00	2.759117e+01	4.834389e+04	3.500643e+00	0
15763	3.831029e+00	2.909212e+01	4.416222e+04	3.479696e+00	1
15764	3.831029e+00	2.909212e+01	4.817233e+04	3.479696e+00	0
15765	3.831029e+00	2.909212e+01	4.270146e+04	3.479696e+00	0
15766	3.724098e+00	2.825054e+01	4.096204e+04	3.656394e+00	1
15767	3.679216e+00	3.006238e+01	4.613323e+04	3.485758e+00	1
15768	3.645126e+00	3.236109e+01	4.300569e+04	3.757784e+00	1
15769	3.739454e+00	3.340440e+01	3.865795e+04	3.609099e+00	1
15770	3.756818e+00	3.464857e+01	4.566158e+04	3.537008e+00	1
15771	3.875462e+00	3.423919e+01	4.694356e+04	3.546220e+00	1
15772	3.988402e+00	3.349471e+01	4.140472e+04	3.424659e+00	1
15773	3.988402e+00	3.349471e+01	4.677329e+04	3.424659e+00	0
15774	3.793151e+00	3.147771e+01	4.903838e+04	3.535918e+00	1
15775	3.793151e+00	3.147771e+01	5.205759e+04	3.535918e+00	0
15776	3.768530e+00	3.233163e+01	4.733823e+04	3.601406e+00	1
15777	3.946716e+00	3.254873e+01	4.743230e+04	3.536040e+00	1
15778	4.109160e+00	3.335682e+01	4.701162e+04	3.725001e+00	1
15779	4.122048e+00	3.532484e+01	4.562321e+04	3.811014e+00	1
15780	4.203092e+00	3.899737e+01	4.582403e+04	3.884053e+00	1
15781	4.250021e+00	3.892875e+01	4.306786e+04	3.873426e+00	1
15782	4.177986e+00	3.755365e+01	4.571265e+04	3.886547e+00	1
15783	4.158349e+00	3.875600e+01	4.553327e+04	3.926150e+00	1
15784	3.970743e+00	3.265307e+01	4.779671e+04	3.825282e+00	1
15785	3.926084e+00	3.088105e+01	4.338063e+04	3.833009e+00	1
15786	4.137323e+00	3.056393e+01	4.430576e+04	3.707560e+00	1
15787	4.236318e+00	3.229821e+01	4.579778e+04	3.901790e+00	1
15788	3.892998e+00	2.995757e+01	4.429528e+04	3.900786e+00	1
15789	3.963847e+00	3.267088e+01	4.392630e+04	4.057835e+00	1
15790	3.944154e+00	3.283885e+01	4.968238e+04	4.052780e+00	1
15791	3.996260e+00	3.267205e+01	4.772961e+04	4.165633e+00	1
15792	3.996260e+00	3.267205e+01	4.865530e+04	4.165633e+00	0
15793	3.944743e+00	3.244862e+01	4.969459e+04	4.037461e+00	1
15794	3.944743e+00	3.244862e+01	4.527880e+04	4.037461e+00	0
15795	3.988506e+00	3.117648e+01	4.032792e+04	4.088066e+00	1
15796	3.969907e+00	2.788473e+01	4.865993e+04	3.900860e+00	1
15797	3.886373e+00	3.097148e+01	4.787353e+04	4.131254e+00	1
15798	3.941614e+00	2.596387e+01	4.342065e+04	4.007201e+00	1
15799	3.751899e+00	2.583285e+01	4.337319e+04	4.101168e+00	1
15800	3.782078e+00	2.762342e+01	4.653224e+04	4.168831e+00	1
15801	3.896479e+00	2.832922e+01	4.290500e+04	4.163891e+00	1
15802	3.814278e+00	2.822062e+01	5.023027e+04	4.260097e+00	1
15803	3.759857e+00	2.917180e+01	4.155433e+04	4.040815e+00	1
15804	3.776634e+00	3.004777e+01	4.307484e+04	4.245326e+00	1
15805	3.776634e+00	3.004777e+01	4.543313e+04	4.245326e+00	0
15806	3.857120e+00	2.984310e+01	4.252085e+04	4.189301e+00	1
15807	3.763500e+00	3.170585e+01	4.064590e+04	3.848651e+00	1
15808	3.688933e+00	3.409061e+01	4.775895e+04	4.062390e+00	1
15809	3.682750e+00	3.428788e+01	4.627435e+04	4.232924e+00	1
15810	3.677306e+00	3.090666e+01	4.649313e+04	4.038713e+00	1
15811	3.793776e+00	3.212315e+01	4.709986e+04	4.221734e+00	1
15812	3.717806e+00	3.136419e+01	3.839400e+04	4.179706e+00	1
15813	3.913610e+00	3.288401e+01	4.631307e+04	4.232780e+00	1
15814	3.942386e+00	3.083602e+01	4.019895e+04	4.432834e+00	1
15815	3.783076e+00	3.238052e+01	4.551902e+04	4.725390e+00	1
15816	3.753578e+00	3.152977e+01	4.236664e+04	4.781931e+00	1
15817	3.797434e+00	3.185163e+01	4.529088e+04	4.794997e+00	1
15818	3.822381e+00	2.991913e+01	4.347554e+04	4.729477e+00	1
15819	3.746646e+00	3.102489e+01	4.680542e+04	4.699525e+00	1
15820	3.716226e+00	2.963357e+01	4.443166e+04	4.768971e+00	1
15821	3.853983e+00	3.200476e+01	4.392815e+04	4.761931e+00	1
15822	3.901650e+00	3.149910e+01	4.312953e+04	4.674833e+00	1
15823	3.992175e+00	3.073958e+01	4.852601e+04	4.687918e+00	1
15824	3.964560e+00	3.043678e+01	4.591532e+04	4.551104e+00	1
15825	3.928935e+00	3.026542e+01	4.516589e+04	4.709647e+00	1
15826	4.003267e+00	2.919010e+01	4.990043e+04	4.729578e+00	1
15827	4.056776e+00	2.896249e+01	5.504095e+04	4.944021e+00	1
15828	4.056776e+00	2.896249e+01	4.950876e+04	4.944021e+00	0
15829	4.056776e+00	2.896249e+01	4.581641e+04	4.944021e+00	0
15830	4.119086e+00	2.897656e+01	4.447351e+04	4.901433e+00	1
15831	4.119086e+00	2.897656e+01	4.614255e+04	4.901433e+00	0
15832	4.244169e+00	3.012640e+01	4.363978e+04	4.728683e+00	1
15833	4.242791e+00	3.206998e+01	4.480589e+04	4.935592e+00	1
15834	4.087387e+00	2.959225e+01	4.691395e+04	4.991034e+00	1
15835	4.041733e+00	2.859328e+01	4.941625e+04	5.306917e+00	1
15836	4.134426e+00	2.816875e+01	4.316941e+04	5.335194e+00	1
15837	4.136985e+00	2.683394e+01	4.137170e+04	5.251660e+00	1
15838	4.253347e+00	2.818862e+01	4.494948e+04	5.235106e+00	1
15839	4.247880e+00	3.108847e+01	4.514143e+04	5.066923e+00	1
15840	4.235208e+00	3.303034e+01	4.441007e+04	5.011416e+00	1
15841	4.137670e+00	3.323839e+01	4.226082e+04	5.127004e+00	1
15842	4.194006e+00	3.408261e+01	4.305408e+04	4.826333e+00	1
15843	4.306068e+00	3.249499e+01	4.401281e+04	5.018110e+00	1
15844	4.436804e+00	3.258923e+01	4.341765e+04	4.889164e+00	1
15845	4.463373e+00	3.255985e+01	4.528826e+04	4.656366e+00	1
15846	4.577149e+00	3.349575e+01	4.662957e+04	4.481357e+00	1
15847	4.533258e+00	3.230764e+01	4.863594e+04	4.497405e+00	1
15848	4.539472e+00	3.287955e+01	4.326421e+04	4.614143e+00	1
15849	4.383100e+00	2.862004e+01	4.436511e+04	4.625947e+00	1
15850	4.383100e+00	2.862004e+01	5.268382e+04	4.625947e+00	0
15851	4.340606e+00	3.047467e+01	4.850682e+04	4.666750e+00	1
15852	4.415604e+00	3.215978e+01	4.581874e+04	4.376742e+00	1
15853	4.415604e+00	3.215978e+01	4.603993e+04	4.376742e+00	0
15854	4.440277e+00	3.532094e+01	4.207092e+04	4.431808e+00	1
15855	4.495459e+00	3.413695e+01	4.813943e+04	4.344465e+00	1
15856	4.488438e+00	3.486665e+01	4.816450e+04	4.426154e+00	1
15857	4.671804e+00	3.440178e+01	4.537765e+04	4.403502e+00	1
15858	4.750730e+00	3.568173e+01	4.757394e+04	4.468635e+00	1
15859	4.555792e+00	3.682667e+01	4.645717e+04	4.649841e+00	1
15860	4.689707e+00	3.734790e+01	4.596928e+04	4.795152e+00	1
15861	4.690709e+00	3.706551e+01	4.461197e+04	4.788933e+00	1
15862	4.519626e+00	3.931970e+01	4.656098e+04	4.890655e+00	1
15863	4.660762e+00	3.653461e+01	4.393084e+04	4.780332e+00	1
15864	4.580750e+00	3.577869e+01	4.226455e+04	4.802021e+00	1
15865	4.563316e+00	3.625919e+01	4.762711e+04	4.637164e+00	1
15866	4.548293e+00	3.787855e+01	4.781042e+04	4.566690e+00	1
15867	4.694267e+00	3.995237e+01	5.171056e+04	4.617311e+00	1
15868	4.600184e+00	4.189190e+01	4.204481e+04	4.849836e+00	1
15869	4.612782e+00	3.926817e+01	4.292314e+04	4.821369e+00	1
15870	4.409315e+00	3.904874e+01	4.313451e+04	4.995688e+00	1
15871	4.152294e+00	3.817505e+01	5.404177e+04	4.985642e+00	1
15872	4.304169e+00	4.138126e+01	4.781806e+04	5.194544e+00	1
15873	4.245899e+00	4.258577e+01	5.568450e+04	5.322864e+00	1
15874	4.152718e+00	4.519332e+01	4.655816e+04	5.537113e+00	1
15875	4.211008e+00	4.108686e+01	4.744328e+04	5.374890e+00	1
15876	4.203411e+00	4.192213e+01	5.045995e+04	5.510711e+00	1
15877	4.262764e+00	4.295941e+01	4.374591e+04	5.439147e+00	1
15878	4.262764e+00	4.295941e+01	5.069376e+04	5.439147e+00	0
15879	4.285814e+00	4.111941e+01	4.524404e+04	5.700215e+00	1
15880	4.237471e+00	4.256100e+01	4.696684e+04	5.725196e+00	1
15881	4.237471e+00	4.256100e+01	4.887974e+04	5.725196e+00	0
15882	4.228473e+00	4.021810e+01	4.188540e+04	5.896283e+00	1
15883	4.061998e+00	4.140401e+01	4.295004e+04	5.694622e+00	1
15884	3.992374e+00	4.022134e+01	4.248093e+04	5.971649e+00	1
15885	4.078448e+00	4.167576e+01	4.124408e+04	5.868301e+00	1
15886	4.082161e+00	4.051149e+01	4.913612e+04	5.807607e+00	1
15887	3.913561e+00	4.288119e+01	4.464110e+04	5.663067e+00	1
15888	3.974793e+00	4.255192e+01	4.721311e+04	5.983524e+00	1
15889	3.788967e+00	4.115258e+01	4.834614e+04	6.187671e+00	1
15890	3.783743e+00	4.093992e+01	4.669000e+04	6.268742e+00	1
15891	3.771129e+00	4.285237e+01	4.537475e+04	6.324311e+00	1
15892	3.826845e+00	4.640283e+01	5.142575e+04	6.607342e+00	1
15893	3.709456e+00	4.325230e+01	4.552048e+04	6.663443e+00	1
15894	3.733594e+00	4.244644e+01	4.559585e+04	6.829443e+00	1
15895	3.651596e+00	4.407024e+01	4.845212e+04	6.675782e+00	1
15896	3.498794e+00	4.132516e+01	4.860661e+04	6.536913e+00	1
15897	3.455612e+00	3.792985e+01	4.485545e+04	6.423359e+00	1
15898	3.455612e+00	3.792985e+01	4.579819e+04	6.423359e+00	0
15899	3.455612e+00	3.792985e+01	5.224675e+04	6.423359e+00	0
15900	3.399418e+00	3.840674e+01	4.367982e+04	6.458989e+00	1
15901	3.399418e+00	3.840674e+01	4.213411e+04	6.458989e+00	0
15902	3.534791e+00	3.990566e+01	4.273467e+04	6.765934e+00	1
15903	3.406593e+00	3.841697e+01	4.748501e+04	6.686695e+00	1
15904	3.518306e+00	4.039417e+01	4.868394e+04	6.703533e+00	1
15905	3.557358e+00	4.214350e+01	4.842520e+04	6.681992e+00	1
15906	3.528015e+00	4.067218e+01	4.914927e+04	6.556976e+00	1
15907	3.528015e+00	4.067218e+01	4.496792e+04	6.556976e+00	0
15908	3.528015e+00	4.067218e+01	5.174193e+04	6.556976e+00	0
15909	3.453615e+00	4.062714e+01	4.174865e+04	6.600242e+00	1
15910	3.416319e+00	4.414258e+01	4.353044e+04	6.398810e+00	1
15911	3.482748e+00	4.184440e+01	4.942362e+04	6.567946e+00	1
15912	3.576598e+00	3.966759e+01	4.420764e+04	6.864253e+00	1
15913	3.615528e+00	3.473531e+01	4.386722e+04	6.956614e+00	1
15914	3.650581e+00	3.692226e+01	4.700406e+04	7.068614e+00	1
15915	3.666568e+00	3.764247e+01	5.014079e+04	6.999978e+00	1
15916	3.683344e+00	3.517160e+01	5.045310e+04	7.111330e+00	1
15917	3.660614e+00	3.566349e+01	4.598944e+04	7.130007e+00	1
15918	3.689420e+00	3.694898e+01	4.239456e+04	7.376161e+00	1
15919	3.749450e+00	3.896479e+01	4.255562e+04	7.258003e+00	1
15920	3.855063e+00	3.932788e+01	4.942636e+04	7.071845e+00	1
15921	3.745061e+00	3.690516e+01	4.591461e+04	6.857001e+00	1
15922	3.726993e+00	3.589245e+01	4.359559e+04	6.825718e+00	1
15923	3.726993e+00	3.589245e+01	4.688188e+04	6.825718e+00	0
15924	3.726993e+00	3.589245e+01	4.854744e+04	6.825718e+00	0
15925	3.787563e+00	3.845306e+01	3.951489e+04	6.838444e+00	1
15926	3.790049e+00	4.020614e+01	4.395816e+04	6.733591e+00	1
15927	3.843037e+00	3.959348e+01	4.563868e+04	6.647977e+00	1
15928	3.893981e+00	4.007158e+01	4.627049e+04	6.713559e+00	1
15929	3.864764e+00	4.124533e+01	4.563083e+04	6.713150e+00	1
15930	3.737151e+00	3.962915e+01	4.336910e+04	6.642569e+00	1
15931	3.705590e+00	3.922659e+01	5.033009e+04	6.690435e+00	1
15932	3.881187e+00	3.969453e+01	4.846250e+04	6.665623e+00	1
15933	3.828099e+00	3.982741e+01	4.374315e+04	6.589494e+00	1
15934	3.827422e+00	3.930499e+01	4.534705e+04	6.759164e+00	1
15935	3.942037e+00	4.070771e+01	4.133260e+04	6.705616e+00	1
15936	3.942037e+00	4.070771e+01	4.657567e+04	6.705616e+00	0
15937	4.042321e+00	4.058834e+01	4.693938e+04	6.474515e+00	1
15938	3.851098e+00	3.930963e+01	4.559347e+04	6.596745e+00	1
15939	3.896464e+00	4.393263e+01	4.445357e+04	6.474385e+00	1
15940	3.735218e+00	4.069389e+01	4.790409e+04	6.366029e+00	1
15941	3.752785e+00	4.068267e+01	4.506409e+04	6.340522e+00	1
15942	3.691590e+00	4.105482e+01	4.265430e+04	6.456250e+00	1
15943	3.618474e+00	4.156555e+01	4.418100e+04	6.583495e+00	1
15944	3.601006e+00	4.082014e+01	4.642474e+04	6.769721e+00	1
15945	3.555539e+00	3.844247e+01	4.762859e+04	6.612294e+00	1
15946	3.623287e+00	3.908370e+01	4.390597e+04	6.839686e+00	1
15947	3.696122e+00	4.272306e+01	4.663545e+04	6.644511e+00	1
